# betaPara  betaPerp  deltaPara  deltaPerp  beta  delta  energy
3.933058698232993686e-04 3.933058698232992059e-04 1.698663687059781460e-03 1.688559589884775641e-03 3.933058698232995854e-04 1.523719509746318057e-03 2.826636685698131828e+02
3.944280459162303977e-04 3.944280459162309398e-04 1.695255320872564742e-03 1.685502170034027620e-03 3.944280459162335961e-04 1.519271997080434266e-03 2.826879620104456876e+02
3.955498305034380784e-04 3.955498305034385663e-04 1.691805259205641544e-03 1.682416511562622287e-03 3.955498305034403552e-04 1.514767238526171234e-03 2.827122554510781924e+02
3.966712237370367345e-04 3.966712237370336987e-04 1.688311984012935436e-03 1.679301776373649845e-03 3.966712237370353792e-04 1.510203332730773165e-03 2.827365488917106404e+02
3.977922257690810043e-04 3.977922257690785649e-04 1.684773901562596149e-03 1.676157095829928362e-03 3.977922257690824138e-04 1.505578289731012874e-03 2.827608423323431452e+02
3.989128367515470302e-04 3.989128367515447533e-04 1.681189337195225335e-03 1.672981569263712158e-03 3.989128367515476807e-04 1.500890025187463176e-03 2.827851357729756501e+02
4.000330568363428120e-04 4.000330568363410231e-04 1.677556529609939423e-03 1.669774262397049572e-03 4.000330568363462814e-04 1.496136354126731969e-03 2.828094292136081549e+02
4.011528861753050636e-04 4.011528861753066899e-04 1.673873624620476636e-03 1.666534205666379441e-03 4.011528861753048468e-04 1.491314984134479949e-03 2.828337226542406029e+02
4.022723249202091330e-04 4.022723249202072898e-04 1.670138668331268197e-03 1.663260392444786259e-03 4.022723249202080488e-04 1.486423507945263713e-03 2.828580160948731077e+02
4.033913732227506249e-04 4.033913732227494323e-04 1.666349599656506437e-03 1.659951777143272265e-03 4.033913732227524681e-04 1.481459395352566731e-03 2.828823095355056125e+02
4.045100312345576528e-04 4.045100312345565143e-04 1.662504242105066225e-03 1.656607273208306067e-03 4.045100312345589538e-04 1.476419984368867100e-03 2.829066029761380605e+02
4.056282991071964218e-04 4.056282991071988070e-04 1.658600294734344878e-03 1.653225750977583858e-03 4.056282991072000538e-04 1.471302471531777453e-03 2.829308964167705653e+02
4.067461769921539363e-04 4.067461769921533942e-04 1.654635322165885552e-03 1.649806035399268124e-03 4.067461769921541532e-04 1.466103901253784127e-03 2.829551898574030702e+02
4.078636650408494924e-04 4.078636650408488419e-04 1.650606743524221567e-03 1.646346903608887939e-03 4.078636650408522029e-04 1.460821154083171087e-03 2.829794832980355181e+02
4.089807634774237288e-04 4.089807634046399359e-04 1.646511820166773063e-03 1.642847082336286891e-03 4.089807634724624196e-04 1.455450933741598424e-03 2.830037767386680230e+02
4.100974727781956080e-04 4.100974722348127779e-04 1.642347642302510171e-03 1.639305245144866618e-03 4.100974727411503171e-04 1.449989753023212414e-03 2.830280701793005278e+02
4.112137929324210118e-04 4.112137916825769793e-04 1.638111113492959859e-03 1.635720009473427697e-03 4.112137928472131294e-04 1.444433917608387453e-03 2.830523636199329758e+02
4.123297244145444256e-04 4.123297218990791047e-04 1.633798933404993162e-03 1.632089933491266904e-03 4.123297242430506927e-04 1.438779508133506248e-03 2.830766570605654806e+02
4.134452680134279349e-04 4.134452630354074976e-04 1.629407578901208688e-03 1.628413512713299763e-03 4.134452676740509166e-04 1.433022360573765882e-03 2.831009505011979854e+02
4.145604249459243842e-04 4.145604152425779679e-04 1.624933282202986086e-03 1.624689176385308393e-03 4.145604242843902972e-04 1.427158043761620181e-03 2.831252439418304903e+02
4.156751973121290992e-04 4.156751786715575910e-04 1.620372006105870065e-03 1.620915283615486464e-03 4.156751960412886785e-04 1.421181834006638150e-03 2.831495373824629382e+02
4.167895887655671534e-04 4.167895534732690439e-04 1.615719415713002052e-03 1.617090119207772623e-03 4.167895863594743046e-04 1.415088686299357515e-03 2.831738308230954431e+02
